"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?(YES/NO)"	"orphaned?(YES/NO)"
"Whale log - observations from ANARE voyages"	"965046a4-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"169"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2009-03-30"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
"Bunger Hills, 1999/2000 survey - nest sites of snow petrels Pagodroma nivea"	"964cb534-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"140"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2009-03-30"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
"Whale Observations from the British, Australian and New Zealand Antarctic Research Expedition (BANZARE) voyages 1929-30 and 1930-31"	"964dd900-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"144"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2009-03-30"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
"Nest census, Windmill Islands 2002/03"	"964f1f04-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"5056"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2009-03-30"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
"Squid specimens from the 1991/92 V6 AAMBER2 voyage"	"95e3d104-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"129"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2008-12-04"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
"ABBBS Bird Banding records from the Australian Antarctic Territory and Heard Island."	"95ddbdfa-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"13628"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2008-12-04"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
"RMT Trawl catch from the 2005/06 V3 BROKE-West voyage - Fish"	"88de7dce-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"547"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2008-02-19"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
"AAD Benthic Sampling Database"	"86b7940e-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"1901"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2007-12-20"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
"Kelp rafts in the Southern Ocean"	"8601bda0-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"126"	"0"	"1cbabffe-9073-4007-ba1e-40ebcda6e302"	"IPT_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2007-07-09"	"DWC_ARCHIVE"	"http://services.data.antarctica.gov.au/ipt/archive.do?r=kelp"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
"Pelagic Fish Observations 1968-1999"	"85b0a82a-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"54059"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2007-04-21"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
"ARGOS Satellite Tracking of animals"	"82e6a41e-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"346511"	"0"	"5ffda196-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"3693ff90-4c16-11d8-b290-b8a03c50a862"	"Australian Antarctic Data Centre"	"Australia"	"Australia"	"2007-04-03"	"DIGIR"	"http://data.aad.gov.au/digir/digir.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
"Plants of Papua New Guinea"	"85312280-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"146624"	"0"	"60159080-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"c4254a00-cb2b-11d8-bf68-b8a03c50a862"	"National Herbarium of New South Wales"	"Australia"	"Australia"	"2007-04-03"	"DIGIR"	"http://plantnet.rbgsyd.nsw.gov.au/digir/DiGIR.php"	"2017-06-09"	"ABORT"	"FALSE"	"YES"
