"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?(YES/NO)"	"orphaned?(YES/NO)"
"ZFMK Sound Archive"	"bc7c19ec-eefd-403b-931a-16a2ea1e71fc"	"OCCURRENCE"	"true"	"1069"	"0"	"603065ae-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"6e1cad80-bdf5-11d8-84ea-b8a03c50a862"	"Zoologisches Forschungsinstitut und Museum Alexander Koenig"	"Germany"	"Germany"	"2014-05-23"	"BIOCASE"	"http://biocase.zfmk.de//pywrapper.cgi?dsa=ZFMK-Sounds"	"2016-01-19"	"NORMAL"	"TRUE"	"YES"
"ZFMK DORSA"	"72309d40-0c1f-47d6-8008-33e687b7df7a"	"OCCURRENCE"	"true"	"1634"	"0"	"603065ae-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"6e1cad80-bdf5-11d8-84ea-b8a03c50a862"	"Zoologisches Forschungsinstitut und Museum Alexander Koenig"	"Germany"	"Germany"	"2014-05-23"	"BIOCASE"	"http://biocase.zfmk.de//pywrapper.cgi?dsa=ZFMK-Sounds"	"2016-01-19"	"NORMAL"	"TRUE"	"YES"
"Herpetology"	"263bbfe7-f643-43bb-b448-f0705d1c0e18"	"OCCURRENCE"	"true"	"13993"	"0"	"603065ae-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"6e1cad80-bdf5-11d8-84ea-b8a03c50a862"	"Zoologisches Forschungsinstitut und Museum Alexander Koenig"	"Germany"	"Germany"	"2014-05-23"	"BIOCASE"	"http://biocase.zfmk.de//pywrapper.cgi?dsa=ZFMK-Herpetology"	"2017-04-26"	"ABORT"	"FALSE"	"YES"
"Ichthyology"	"f5a6ade4-b414-4ebc-a84a-c6800a2df2da"	"OCCURRENCE"	"true"	"7732"	"0"	"603065ae-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"6e1cad80-bdf5-11d8-84ea-b8a03c50a862"	"Zoologisches Forschungsinstitut und Museum Alexander Koenig"	"Germany"	"Germany"	"2014-05-23"	"BIOCASE"	"http://biocase.zfmk.de//pywrapper.cgi?dsa=ZFMK-FREDIE"	"2016-01-19"	"NORMAL"	"TRUE"	"YES"
"Bat Banding"	"c5c2542c-408f-442f-97d0-3a97562fe5ec"	"OCCURRENCE"	"true"	"156265"	"0"	"603065ae-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"6e1cad80-bdf5-11d8-84ea-b8a03c50a862"	"Zoologisches Forschungsinstitut und Museum Alexander Koenig"	"Germany"	"Germany"	"2014-05-23"	"BIOCASE"	"http://biocase.zfmk.de//pywrapper.cgi?dsa=ZFMK-BatBanding"	"2016-03-17"	"NORMAL"	"TRUE"	"YES"
"ZFMK AMIBIO"	"6bff1c15-43a6-4074-8b9c-3994cc8fe028"	"OCCURRENCE"	"true"	"109"	"0"	"603065ae-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"6e1cad80-bdf5-11d8-84ea-b8a03c50a862"	"Zoologisches Forschungsinstitut und Museum Alexander Koenig"	"Germany"	"Germany"	"2014-05-23"	"BIOCASE"	"http://biocase.zfmk.de//pywrapper.cgi?dsa=ZFMK-Amibio"	"2016-01-19"	"NORMAL"	"TRUE"	"YES"
"Phthiraptera"	"01fdde0a-a371-45b6-a6a2-5656d57e3280"	"OCCURRENCE"	"true"	"375"	"0"	"603065ae-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"6e1cad80-bdf5-11d8-84ea-b8a03c50a862"	"Zoologisches Forschungsinstitut und Museum Alexander Koenig"	"Germany"	"Germany"	"2014-05-20"	"BIOCASE"	"http://biocase.zfmk.de//pywrapper.cgi?dsa=ZFMK"	"2016-01-19"	"NORMAL"	"TRUE"	"YES"
"Orthopteroidea"	"0fd66c58-0ef4-45b3-b5a0-14ea85d37c0a"	"OCCURRENCE"	"true"	"13597"	"0"	"603065ae-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"6e1cad80-bdf5-11d8-84ea-b8a03c50a862"	"Zoologisches Forschungsinstitut und Museum Alexander Koenig"	"Germany"	"Germany"	"2014-05-20"	"BIOCASE"	"http://biocase.zfmk.de//pywrapper.cgi?dsa=ZFMK"	"2016-01-19"	"NORMAL"	"TRUE"	"YES"
"Hymenoptera"	"d45b8e8a-1f32-40b0-a132-bd690bd90b30"	"OCCURRENCE"	"true"	"19356"	"0"	"603065ae-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"6e1cad80-bdf5-11d8-84ea-b8a03c50a862"	"Zoologisches Forschungsinstitut und Museum Alexander Koenig"	"Germany"	"Germany"	"2014-05-20"	"BIOCASE"	"http://biocase.zfmk.de//pywrapper.cgi?dsa=ZFMK"	"2016-01-19"	"NORMAL"	"TRUE"	"YES"
"Homoptera"	"934e4fb0-db3e-408a-a841-182c43bf7fc1"	"OCCURRENCE"	"true"	"4051"	"0"	"603065ae-f762-11e1-a439-00145eb45e9a"	"BIOCASE_INSTALLATION"	"6e1cad80-bdf5-11d8-84ea-b8a03c50a862"	"Zoologisches Forschungsinstitut und Museum Alexander Koenig"	"Germany"	"Germany"	"2014-05-20"	"BIOCASE"	"http://biocase.zfmk.de//pywrapper.cgi?dsa=ZFMK"	"2016-01-19"	"NORMAL"	"TRUE"	"YES"
