"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?"	"orphaned?"	"numImages"	"online?"
"Quadrige"	"aeeff4d1-a1e0-454e-ae87-2748138279d3"	"OCCURRENCE"	"true"	"281250"	"0"	"791e3715-7452-4dd0-a906-db21a3852427"	"IPT_INSTALLATION"	"61e40671-1a75-4bcd-9a0d-63515057d39d"	"IFREMER -  French Research Institute for Exploitation of the Sea"	"France"	"France"	"2011-03-29"	"DWC_ARCHIVE"	"http://www.gbif.fr:8080/ipt/archive.do?r=quadrige"	"2017-11-02"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"Cnidaria MZS"	"c8fe6e06-84e3-4a46-90cb-38c455426209"	"OCCURRENCE"	"true"	"2443"	"0"	"791e3715-7452-4dd0-a906-db21a3852427"	"IPT_INSTALLATION"	"609d49d0-78fe-11dd-b871-b8a03c50a862"	"Musée Zoologique de la Ville de Strasbourg"	"France"	"France"	"2011-03-23"	"DWC_ARCHIVE"	"http://www.gbif.fr:8080/ipt/archive.do?r=cnidariamzs"	"2017-11-02"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"USDA PLANTS Database"	"705922f7-5ba5-49ab-a75d-722e3090e690"	"CHECKLIST"	"true"	"0"	"0"	"996364e8-f762-11e1-a439-00145eb45e9a"	"HTTP_INSTALLATION"	"58b5fc00-5ba3-11db-8a89-b8a03c50a862"	"USDA PLANTS"	"United States"	"United States"	"2011-03-07"	"DWC_ARCHIVE"	"http://rs.gbif.org/datasets/usda_archive.zip"	"2017-11-02"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"The Paleobiology Database"	"c33ce2f2-c3cc-43a5-a380-fe4526d63650"	"CHECKLIST"	"true"	"0"	"273792"	"995eed50-f762-11e1-a439-00145eb45e9a"	"HTTP_INSTALLATION"	"719ccfbf-6d9b-4328-8968-5acbef980f97"	"Australian Research Council"	"Australia"	"Australia"	"2011-03-07"	"DWC_ARCHIVE"	"http://rs.gbif.org/datasets/pbdb.zip"	"2017-11-02"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"NCBI Taxonomy"	"fab88965-e69d-4491-a04d-e3198b626e52"	"CHECKLIST"	"true"	"0"	"2212956"	"995eed50-f762-11e1-a439-00145eb45e9a"	"HTTP_INSTALLATION"	"2f2e4f28-d929-4609-937b-9a8ebd265159"	"National Center for Biotechnology Information (NCBI)"	"United States"	"United States"	"2011-03-07"	"DWC_ARCHIVE"	"http://rs.gbif.org/datasets/ncbi_archive.zip"	"2017-11-02"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"Cartographie des Leguminosae (Fabaceae) en France"	"cbd241aa-a115-4856-af66-fac5cb90f2cc"	"OCCURRENCE"	"true"	"39957"	"0"	"6066845e-f762-11e1-a439-00145eb45e9a"	"TAPIR_INSTALLATION"	"b2dbd210-90c2-11df-86a3-b8a03c50a862"	"Tela Botanica"	"France"	"France"	"2011-03-04"	"TAPIR"	"http://api.tela-botanica.org/tapirlink/tapir.php/legumino"	"2017-11-02"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"Phytochorologie des départements français"	"2d680d46-d783-4ea7-94b1-2556cd653e36"	"OCCURRENCE"	"true"	"223486"	"0"	"6066845e-f762-11e1-a439-00145eb45e9a"	"TAPIR_INSTALLATION"	"b2dbd210-90c2-11df-86a3-b8a03c50a862"	"Tela Botanica"	"France"	"France"	"2011-03-04"	"TAPIR"	"http://api.tela-botanica.org/tapirlink/tapir.php/chorodep"	"2017-11-02"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"Revision of the Malagasy genus Trichoteleia Kieffer (Hymenoptera, Platygastroidea, Platygastridae) - Darwin Core Archives"	"12a6bf1f-f66e-408c-8c6c-771af210e6a8"	"OCCURRENCE"	"true"	"528"	"0"	"d371dfc3-ef14-48b5-97f8-1de9d3f9f874"	"IPT_INSTALLATION"	"bb922300-7ddb-11de-a300-90ac77aa923f"	"ZooKeys"		"unknown or invalid"	"2011-02-17"	"DWC_ARCHIVE"	"http://ipt.pensoft.net/ipt/archive.do?r=test2"	"2017-11-02"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"Colorado State University Herbarium"	"95aef98e-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"57350"	"0"	"600b4684-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"0da0bbb0-633f-11dd-9199-b8a03c50a862"	"Colorado State University Herbarium (CSU)"	"United States"	"United States"	"2008-08-07"	"DIGIR"	"http://herbarium.biology.colostate.edu:80/digir/DiGIR.php"	"2017-11-02"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"Interactive Database of Biodiversity Studies on Terrestrial Arthropod Animals of Korea"	"82fd496c-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"2861"	"0"	"5ffe05dc-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"657b7bf0-766b-11d9-9f77-b8a03c50a862"	"Korea Institute of Science and Technology Information"	"Korea, Republic of"	"Korea, Republic of"	"2007-04-03"	"DIGIR"	"http://dataprovider.kisti.re.kr/DiGIRprov/www/DiGIR.php"	"2017-11-02"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"Korean Insect Database"	"8306a85e-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"1426"	"0"	"5ffe05dc-f762-11e1-a439-00145eb45e9a"	"DIGIR_INSTALLATION"	"657b7bf0-766b-11d9-9f77-b8a03c50a862"	"Korea Institute of Science and Technology Information"	"Korea, Republic of"	"Korea, Republic of"	"2007-04-03"	"DIGIR"	"http://dataprovider.kisti.re.kr/DiGIRprov/www/DiGIR.php"	"2017-11-02"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
"Herbarium of Jyväskylä University Museum"	"84329256-f762-11e1-a439-00145eb45e9a"	"OCCURRENCE"	"true"	"43905"	"0"	"369b9874-5bd5-45dd-9db8-c29d6c3b5a72"	"IPT_INSTALLATION"	"ff3a2000-b2ac-11db-b710-b8a03c50a862"	"Jyväskylä University Museum - The Section of Natural Sciences"	"Finland"	"Finland"	"2007-04-03"	"DWC_ARCHIVE"	"http://ipt.digitarium.fi/archive.do?r=jyu_herbarium"	"2017-11-02"	"ABORT"	"FALSE"	"YES"	"0"	"TRUE"
